id;value;jhi_system;parsed
1;Ethiopia;Squares Rubber Ergonomic;IB Borders Home
2;face;Savings;hack Practical enterprise
3;Investor withdrawal;Handcrafted deliverables;indexing invoice
4;Account Track open-source;TCP parse;Account Crest
5;payment Industrial Home;turquoise;card
6;Loan;hacking;Toys Associate
7;Ruble;mission-critical Sports;Bedfordshire
8;Ohio;Avon generate;primary Tools generate
9;connecting;hacking Keys wireless;Macedonia Games
10;granular architect;incentivize reboot Dynamic;granular Parks
