id;content_type;title;language;is_data;data_file;data_file_content_type;url;attachment_size;hash;hash_content_type
1;Savings;Sri;Todo;false;../fake-data/blob/hipster.png;image/png;http://kyle.com;67513;../fake-data/blob/hipster.png;image/png
2;Buckinghamshire back-end Legacy;Card;Todo;true;../fake-data/blob/hipster.png;image/png;https://angus.org;24562;../fake-data/blob/hipster.png;image/png
3;implement cyan;Senior Arab;Todo;true;../fake-data/blob/hipster.png;image/png;https://marcelle.biz;30495;../fake-data/blob/hipster.png;image/png
4;Soft Land brand;Car one-to-one;Todo;true;../fake-data/blob/hipster.png;image/png;http://maida.biz;35213;../fake-data/blob/hipster.png;image/png
5;synthesizing Lead;back-end;Todo;true;../fake-data/blob/hipster.png;image/png;http://branson.biz;38194;../fake-data/blob/hipster.png;image/png
6;Arizona;AI Granite;Todo;true;../fake-data/blob/hipster.png;image/png;http://alessandra.com;46010;../fake-data/blob/hipster.png;image/png
7;virtual Orchard;Account Reduced;Todo;true;../fake-data/blob/hipster.png;image/png;https://nicolette.net;30897;../fake-data/blob/hipster.png;image/png
8;SQL Supervisor Wells;cross-media array;Todo;false;../fake-data/blob/hipster.png;image/png;https://ignacio.com;49438;../fake-data/blob/hipster.png;image/png
9;Bacon;Adaptive deposit Corporate;Todo;false;../fake-data/blob/hipster.png;image/png;http://ralph.info;36244;../fake-data/blob/hipster.png;image/png
10;bricks-and-clicks HTTP capacitor;Investment;Todo;false;../fake-data/blob/hipster.png;image/png;http://chadrick.net;61756;../fake-data/blob/hipster.png;image/png
