id;value;jhi_system;parsed;limit_date
1;Agent;quantify Gorgeous;Research program Borders;2021-05-21T05:54:40
2;Illinois clicks-and-mortar;SMS Assurance;Concrete;2021-05-20T14:22:42
3;Metal Account California;Clothing Jewelery;Kwanza Wooden;2021-05-20T21:58:49
4;tolerance Tasty;Mississippi;Fresh back;2021-05-21T00:33:38
5;dot-com Stream Chair;SAS;Berkshire Awesome Group;2021-05-20T11:00:08
6;Facilitator Movies;online;redefine JBOD Incredible;2021-05-20T12:47:05
7;Officer Bike;pink clicks-and-mortar;Indiana Fresh;2021-05-21T07:32:02
8;Pants Moldova scale;Rubber maroon Lane;Internal XSS;2021-05-21T06:18:32
9;Estate user-centric;Chair;responsive;2021-05-21T06:17:49
10;Assurance system-worthy Tools;Senior;Chief Bedfordshire leverage;2021-05-20T15:24:42
