id;guid;parsed;priority;identifier;serviced_date;serviced_date_end
1;Handcrafted;holistic;Todo;bypass interactive;2021-05-21T02:32:50;2021-05-20T12:31:37
2;redundant RSS Security;Chair;Todo;Metrics;2021-05-20T17:07:37;2021-05-20T18:01:52
3;interface Electronics Markets;Card Nevada;Todo;mint;2021-05-21T01:00:03;2021-05-21T01:06:44
4;Intelligent feed Savings;system Car Bedfordshire;Todo;calculating;2021-05-20T14:45:59;2021-05-20T12:12:41
5;PNG;Avon;Todo;Pizza;2021-05-21T00:37:20;2021-05-20T21:21:52
6;circuit Games;North;Todo;morph Internal;2021-05-20T13:59:14;2021-05-20T13:49:31
7;alarm;Forward Automotive;Todo;Analyst;2021-05-21T07:34:03;2021-05-21T04:44:19
8;input EXE;database override transmitting;Todo;De-engineered redundant;2021-05-21T02:52:54;2021-05-21T03:15:00
9;viral Buckinghamshire;Intelligent;Todo;Grove capacitor Gloves;2021-05-21T08:48:08;2021-05-21T05:38:51
10;Guinea-Bissau;withdrawal Soft;Todo;input;2021-05-20T17:17:23;2021-05-21T05:25:13
