id;value;jhi_system;parsed;outcome;serviced;serviced_end;disposition;not_inforce_reason
1;Response New;Grass-roots;SSL Cotton;instruction;2021-05-21T02:32:16;2021-05-21T08:17:25;Brand state;Baby Cambridgeshire
2;Carolina;one-to-one;system;Loan parse;2021-05-20T22:22:17;2021-05-20T14:56:52;Product;Account Bedfordshire
3;program;Small Plastic Frozen;benchmark mobile Specialist;Ergonomic override invoice;2021-05-20T14:20:06;2021-05-20T12:31:55;systems;Soft payment deposit
4;Credit;USB;e-services;Luxembourg up base;2021-05-20T15:15:05;2021-05-20T14:41:27;integrate International Planner;Denar Mouse
5;maroon override;Berkshire JBOD;Fresh best-of-breed vertical;Islands Cotton Avon;2021-05-20T23:42:16;2021-05-20T17:19:37;Paradigm blockchains;array
6;microchip;Tuna Refined;Avon Designer;Buckinghamshire;2021-05-21T04:24:12;2021-05-20T11:00:05;embrace;transparent Up-sized
7;Car panel Bedfordshire;Keys;Director ivory d'Ivoire;Sports benchmark cultivate;2021-05-21T04:30:29;2021-05-21T10:15:20;Facilitator circuit;Salad
8;Avenue Principal;Secured drive;recontextualize Steel knowledge;Investor;2021-05-20T15:30:08;2021-05-20T20:24:39;Rustic ROI;logistical quantify Principal
9;Brooks Account Auto;Republic orchid;copying payment;Architect;2021-05-20T20:48:10;2021-05-21T07:24:01;programming Wooden;payment
10;yellow;mobile;e-services Loan e-services;encryption orchestrate Way;2021-05-21T03:08:47;2021-05-20T11:25:54;turquoise;intermediate partnerships
