id;value;jhi_system;parsed
1;lavender Fresh;invoice;Libyan Courts
2;Account Down-sized Connecticut;Frozen backing;EXE
3;Orchestrator schemas invoice;deposit withdrawal;Plastic
4;Factors Assistant Frozen;purple;Oregon
5;deposit;deposit;protocol Brand Toys
6;Practical Wooden Frozen;District Intranet;Montana Buckinghamshire
7;rich;Connecticut zero Lesotho;mobile bandwidth quantify
8;Pakistan District Rustic;Manager Rubber;Officer Sleek
9;Towels online;protocol compressing Future;Ball Soft
10;Reduced SQL Licensed;Intelligent Profound International;haptic
