id;guid;force_id;organization_license;base_url;organization_type;name
1;Intelligent open-source Kentucky;orchid Bosnia CSS;bandwidth Bacon;circuit;Todo;functionalities
2;overriding Rue;United;multimedia emulation;invoice;Todo;Sleek bypassing
3;revolutionize cross-platform generate;Franc;Sierra People's;1080p;Todo;Nevada Bacon
4;capacitor architect;incubate;cross-platform;Chicken Rustic;Todo;Generic redundant Incredible
5;TCP;PNG quantifying;indigo;deposit Nebraska;Todo;Fish North
6;Multi-channelled Lanka Incredible;recontextualize;Applications Wooden Factors;Rustic driver;Todo;GB hack Planner
7;National Brand;time-frame cross-platform;parse synthesize;Dollar;Todo;Idaho Reverse-engineered
8;withdrawal to Product;Generic National;Functionality back-end seize;Planner Integration;Todo;User-friendly Fresh
9;green auxiliary;Synchronised;portals Ford;Granite;Todo;up encompassing array
10;Unbranded Granite;XSS Regional Quality-focused;Phased;Zloty cross-media invoice;Todo;known Baby
