id;identifier;predecessor;type;date;amount
1;Monaco Fish;Avon;human-resource Avon;2021-05-20T18:06:29;89553
2;compress compress compressing;calculating;extensible initiatives grow;2021-05-21T00:22:36;56376
3;Towels optical;Future-proofed orchid;envisioneer parsing Somoni;2021-05-20T15:53:55;92302
4;Toys Mews;RAM;Key Soft eyeballs;2021-05-20T23:02:21;86576
5;Illinois;Computers Senior hack;Developer;2021-05-20T15:53:18;46113
6;Cotton Fish productize;iterate;bandwidth;2021-05-20T21:11:51;82770
7;Belize;architect Producer Metical;port hack;2021-05-20T20:19:34;54320
8;Personal;killer Chicken Pizza;global Orchestrator;2021-05-21T08:53:38;47319
9;Sharable;relationships quantifying;JBOD world-class;2021-05-20T20:30:13;5306
10;Dynamic mint Functionality;Forward Tactics;Directives;2021-05-20T13:44:42;68647
