id;ref;id_value;identifier;display
1;Account Chilean digital;Market;Intranet Optimization;Cambridgeshire end-to-end
2;Rustic Kenya application;bifurcated calculate Avon;aggregate Wooden;Concrete
3;Chicken;Integration tan;Bacon Team-oriented Plastic;maroon purple
4;paradigm International;ADP well-modulated Personal;multi-byte Texas;Buckinghamshire
5;Solutions;transmitting Lights Branding;Checking;grow Ergonomic invoice
6;Strategist;array navigate;Sweden;compress panel index
7;Open-source HDD;Awesome Computer actuating;approach Configuration;wireless Forward
8;neural-net Islands;parse Glen markets;Soft Tuna;Facilitator
9;Small Metal Krona;Bedfordshire;transmit;Account Tools Metrics
10;copy Technician Small;mobile Keyboard Cambridgeshire;Ruble;transmitting
