id;not_inforce_reason;inforce;benefit_start;benefit_end
1;violet HDD;false;2021-05-21T10:09:15;2021-05-21T01:10:53
2;Integration;true;2021-05-21T00:05:40;2021-05-21T05:11:09
3;teal Account;true;2021-05-21T09:00:32;2021-05-20T20:56:20
4;Future;false;2021-05-21T00:07:47;2021-05-20T13:30:17
5;of convergence;true;2021-05-21T01:24:12;2021-05-21T01:25:40
6;Car turquoise payment;false;2021-05-20T18:21:37;2021-05-21T08:39:53
7;Berkshire Sleek Utah;false;2021-05-21T04:54:22;2021-05-20T15:26:40
8;Wisconsin radical;true;2021-05-21T01:12:09;2021-05-20T15:34:44
9;Soap Computers;false;2021-05-21T10:12:24;2021-05-20T21:04:58
10;Practical Guinea;true;2021-05-20T18:44:44;2021-05-20T13:41:54
