id;category;excluded;name;description;network;unit;term
1;bus empower Bolivia;false;Tuna;channels 1080p;Handmade;Accounts;Cotton Soft
2;Bedfordshire Delaware;false;SSL;synthesizing Nevada Home;Home Japan;incremental global invoice;revolutionize Engineer Market
3;Kids;false;Iowa Rustic;purple uniform;incubate;neural up Honduras;Metal Walks JBOD
4;Tenge;false;grey;application;intranet zero;deposit;exploit Maine
5;Cotton indigo;false;Plastic;Peru innovative connecting;JSON functionalities one-to-one;haptic;Baby communities Common
6;Marketing;true;action-items;Gorgeous Representative Investment;cohesive;Kentucky Qatar Montana;redundant
7;multi-byte;true;Tactics;Table Swiss;plum Optimized;Awesome;Home
8;Borders Bermuda;false;service-desk Gorgeous;payment withdrawal;lime;implementation SMS knowledge;Intelligent Minnesota
9;Ergonomic;false;blockchains hack Shoes;orange Consultant;Account;Web Optimization national;Lucia generate
10;Port;false;Sports Bahrain;Argentina;Direct Soft;cross-platform Books;Strategist Loan Program
