id;guid;is_queued;parsed;identifier;code;description;focus;reason_code
1;withdrawal Avon rich;true;deposit Washington;Chair Supervisor;Todo;morph South;Frozen Central circuit;Todo
2;Usability Quality proactive;true;zero;Fresh Clothing copying;Todo;optical;Shilling Movies;Todo
3;Applications;true;Orchestrator integrate;Flats TCP ADP;Todo;multi-tasking;input;Todo
4;Dynamic Technician;true;index withdrawal Concrete;Hat mission-critical;Todo;compressing Rubber;Micronesia deposit Consultant;Todo
5;initiatives;false;Reduced GB;Qatar;Todo;Paradigm;to Facilitator definition;Todo
6;services reintermediate Investor;false;Maryland Congo;SQL;Todo;Oregon Computer;Mouse invoice real-time;Todo
7;deposit;false;Outdoors synergize;Checking Dollar Borders;Todo;Poland Pants;Romania;Todo
8;yellow Account;false;Wells Unbranded;compressing silver;Todo;vortals Granite Tunisia;blue;Todo
9;Handmade model;true;Platinum Iowa;Administrator Sausages Supervisor;Todo;success;Small National;Todo
10;website Frozen Rustic;true;global Dollar;generate pixel Data;Todo;Rustic;Corporate Health Pants;Todo
