id;value;jhi_system;parsed;status
1;Home deposit;bus;action-items;Small
2;Chair Shirt revolutionary;USB calculating;Flat;Extended task-force Kids
3;Integration Minnesota;embrace Burgs;Granite;Representative Gorgeous
4;Towels Card Rupee;Gorgeous;online Cove;Card Intranet
5;Grocery Data Mexico;e-tailers;virtual analyzing;Rand
6;Object-based Wooden 3rd;synergies Intranet protocol;Soft;Republic Wooden
7;pixel;dedicated;program Berkshire Soap;Decentralized
8;Proactive program connect;Web Sleek value-added;Pants Norway;multi-byte driver Cape
9;dedicated;USB;payment;SDR
10;orchid generating Internal;Developer navigate Oregon;expedite;violet
